,id,items,quantity_items,support,items_base,items_buy,quantity_items_base,items_add,quantity_items_add,confidence,lift
24,23,beef butter root_vegetables,3,0.002948653,beef butter,,2,root_vegetables,1,0.50877193,4.667697696
25,24,beef butter root_vegetables,3,0.002948653,butter root_vegetables,,2,beef,1,0.228346457,4.352301166
26,25,beef butter yogurt,3,0.002745297,beef butter,,2,yogurt,1,0.473684211,3.395542427
27,26,beef butter yogurt,3,0.002745297,beef yogurt,,2,butter,1,0.234782609,4.236856801
28,27,beef citrus_fruit root_vegetables,3,0.003863752,beef citrus_fruit,,2,root_vegetables,1,0.457831325,4.200346161
29,28,beef citrus_fruit root_vegetables,3,0.003863752,citrus_fruit root_vegetables,,2,beef,1,0.218390805,4.162545665
30,29,beef domestic_eggs root_vegetables,3,0.002338587,beef domestic_eggs,,2,root_vegetables,1,0.389830508,3.576476727
31,30,beef fruit-vegetable_juice root_vegetables,3,0.002236909,beef fruit-vegetable_juice,,2,root_vegetables,1,0.44,4.036753731
32,31,beef newspapers root_vegetables,3,0.002745297,beef newspapers,,2,root_vegetables,1,0.428571429,3.931902985
33,32,beef newspapers root_vegetables,3,0.002745297,newspapers root_vegetables,,2,beef,1,0.238938053,4.554177814
34,33,beef other_vegetables pork,3,0.004168785,beef other_vegetables,,2,pork,1,0.211340206,3.665839379
35,34,beef other_vegetables root_vegetables,3,0.007930859,beef other_vegetables,,2,root_vegetables,1,0.402061856,3.688692491
36,35,beef other_vegetables tropical_fruit,3,0.004473818,beef tropical_fruit,,2,other_vegetables,1,0.586666667,3.031984586
37,36,beef pip_fruit root_vegetables,3,0.002338587,beef pip_fruit,,2,root_vegetables,1,0.479166667,4.396085976
38,37,beef pork root_vegetables,3,0.002745297,beef pork,,2,root_vegetables,1,0.36,3.302798507
39,38,beef pork root_vegetables,3,0.002745297,pork root_vegetables,,2,beef,1,0.201492537,3.840463381
40,39,beef rolls-buns root_vegetables,3,0.004982206,beef rolls-buns,,2,root_vegetables,1,0.365671642,3.354832646
41,40,beef rolls-buns root_vegetables,3,0.004982206,rolls-buns root_vegetables,,2,beef,1,0.205020921,3.907714638
42,41,beef root_vegetables sausage,3,0.002948653,beef sausage,,2,root_vegetables,1,0.527272727,4.837432157
43,42,beef root_vegetables soda,3,0.00396543,beef soda,,2,root_vegetables,1,0.4875,4.472539646
44,43,beef root_vegetables soda,3,0.00396543,root_vegetables soda,,2,beef,1,0.213114754,4.061983734
45,44,beef root_vegetables tropical_fruit,3,0.003762074,beef tropical_fruit,,2,root_vegetables,1,0.493333333,4.526057214
46,45,beef root_vegetables whipped-sour_cream,3,0.002745297,beef whipped-sour_cream,,2,root_vegetables,1,0.409090909,3.753180122
47,46,beef root_vegetables whole_milk,3,0.008032537,beef whole_milk,,2,root_vegetables,1,0.377990431,3.467850639
48,47,beef root_vegetables yogurt,3,0.004575496,beef yogurt,,2,root_vegetables,1,0.391304348,3.589998378
49,48,beef whipped-sour_cream yogurt,3,0.002541942,beef yogurt,,2,whipped-sour_cream,1,0.217391304,3.032685785
50,49,berries butter whole_milk,3,0.002440264,berries whole_milk,,2,butter,1,0.206896552,3.733628599
51,50,berries other_vegetables whipped-sour_cream,3,0.002236909,berries other_vegetables,,2,whipped-sour_cream,1,0.217821782,3.038691103
52,51,berries whipped-sour_cream whole_milk,3,0.004270463,berries whole_milk,,2,whipped-sour_cream,1,0.362068966,5.050990462
53,52,berries whipped-sour_cream yogurt,3,0.002948653,berries yogurt,,2,whipped-sour_cream,1,0.278846154,3.890002728
54,53,bottled_beer bottled_water citrus_fruit,3,0.002236909,bottled_beer citrus_fruit,,2,bottled_water,1,0.366666667,3.317540632
55,54,bottled_beer bottled_water fruit-vegetable_juice,3,0.002541942,bottled_beer fruit-vegetable_juice,,2,bottled_water,1,0.362318841,3.278202205
56,55,bottled_water butter root_vegetables,3,0.003355363,bottled_water butter,,2,root_vegetables,1,0.375,3.440415112
57,56,bottled_water butter root_vegetables,3,0.003355363,bottled_water root_vegetables,,2,butter,1,0.214285714,3.866972477
58,57,bottled_water curd yogurt,3,0.00264362,bottled_water curd,,2,yogurt,1,0.433333333,3.106292517
59,58,bottled_water frozen_vegetables tropical_fruit,3,0.002338587,bottled_water frozen_vegetables,,2,tropical_fruit,1,0.37704918,3.593293303
60,59,bottled_water onions root_vegetables,3,0.002236909,bottled_water onions,,2,root_vegetables,1,0.379310345,3.479960113
61,60,bottled_water pork root_vegetables,3,0.002440264,bottled_water pork,,2,root_vegetables,1,0.328767123,3.016254345
62,61,brown_bread citrus_fruit root_vegetables,3,0.002541942,brown_bread root_vegetables,,2,citrus_fruit,1,0.25,3.020577396
63,62,brown_bread curd yogurt,3,0.002338587,brown_bread curd,,2,yogurt,1,0.479166667,3.434842687
64,63,brown_bread fruit-vegetable_juice root_vegetables,3,0.002236909,brown_bread root_vegetables,,2,fruit-vegetable_juice,1,0.22,3.043178622
65,64,brown_bread fruit-vegetable_juice tropical_fruit,3,0.002541942,brown_bread tropical_fruit,,2,fruit-vegetable_juice,1,0.238095238,3.293483357
66,65,brown_bread other_vegetables whipped-sour_cream,3,0.00305033,brown_bread whipped-sour_cream,,2,other_vegetables,1,0.652173913,3.370536224
67,66,brown_bread pip_fruit tropical_fruit,3,0.002440264,brown_bread pip_fruit,,2,tropical_fruit,1,0.32,3.049612403
68,67,brown_bread pip_fruit tropical_fruit,3,0.002440264,brown_bread tropical_fruit,,2,pip_fruit,1,0.228571429,3.021505376
69,68,butter chocolate whole_milk,3,0.003355363,chocolate whole_milk,,2,butter,1,0.201219512,3.631181472
70,69,butter citrus_fruit whipped-sour_cream,3,0.002338587,butter citrus_fruit,,2,whipped-sour_cream,1,0.255555556,3.565090623
71,70,butter citrus_fruit whipped-sour_cream,3,0.002338587,citrus_fruit whipped-sour_cream,,2,butter,1,0.214953271,3.87901912
72,71,butter curd yogurt,3,0.002948653,butter curd,,2,yogurt,1,0.432835821,3.102726165
73,72,butter curd yogurt,3,0.002948653,butter yogurt,,2,curd,1,0.201388889,3.779884966
74,73,butter domestic_eggs other_vegetables,3,0.004575496,butter other_vegetables,,2,domestic_eggs,1,0.228426396,3.600278212
75,74,butter domestic_eggs other_vegetables,3,0.004575496,domestic_eggs other_vegetables,,2,butter,1,0.205479452,3.7080558
76,75,butter domestic_eggs root_vegetables,3,0.003253686,butter domestic_eggs,,2,root_vegetables,1,0.336842105,3.090337785
77,76,butter domestic_eggs root_vegetables,3,0.003253686,butter root_vegetables,,2,domestic_eggs,1,0.251968504,3.971330507
78,77,butter domestic_eggs root_vegetables,3,0.003253686,domestic_eggs root_vegetables,,2,butter,1,0.226950355,4.09551695
79,78,butter domestic_eggs tropical_fruit,3,0.002338587,butter tropical_fruit,,2,domestic_eggs,1,0.234693878,3.699061355
80,79,butter domestic_eggs tropical_fruit,3,0.002338587,domestic_eggs tropical_fruit,,2,butter,1,0.205357143,3.705848624
81,80,butter domestic_eggs whole_milk,3,0.005998983,butter whole_milk,,2,domestic_eggs,1,0.217712177,3.431409074
82,81,butter domestic_eggs whole_milk,3,0.005998983,domestic_eggs whole_milk,,2,butter,1,0.2,3.609174312
83,82,butter domestic_eggs yogurt,3,0.002948653,butter yogurt,,2,domestic_eggs,1,0.201388889,3.17413417
84,83,butter domestic_eggs yogurt,3,0.002948653,domestic_eggs yogurt,,2,butter,1,0.205673759,3.711562236
85,84,butter fruit-vegetable_juice tropical_fruit,3,0.002541942,butter fruit-vegetable_juice,,2,tropical_fruit,1,0.316455696,3.015835051
86,85,butter fruit-vegetable_juice tropical_fruit,3,0.002541942,butter tropical_fruit,,2,fruit-vegetable_juice,1,0.255102041,3.528732168
87,86,butter fruit-vegetable_juice yogurt,3,0.003558719,butter fruit-vegetable_juice,,2,yogurt,1,0.443037975,3.175858951
88,87,butter fruit-vegetable_juice yogurt,3,0.003558719,butter yogurt,,2,fruit-vegetable_juice,1,0.243055556,3.362097593
89,88,butter hamburger_meat whole_milk,3,0.00305033,hamburger_meat whole_milk,,2,butter,1,0.206896552,3.733628599
90,89,butter hygiene_articles other_vegetables,3,0.002338587,hygiene_articles other_vegetables,,2,butter,1,0.244680851,4.415479211
91,90,butter hygiene_articles whole_milk,3,0.00305033,hygiene_articles whole_milk,,2,butter,1,0.238095238,4.296636086
92,91,butter long_life_bakery_product other_vegetables,3,0.002440264,long_life_bakery_product other_vegetables,,2,butter,1,0.228571429,4.124770642
93,92,butter onions whole_milk,3,0.00305033,onions whole_milk,,2,butter,1,0.25210084,4.549379385
94,93,butter other_vegetables root_vegetables,3,0.006609049,butter other_vegetables,,2,root_vegetables,1,0.329949239,3.027099591
95,94,butter other_vegetables whipped-sour_cream,3,0.005795628,butter other_vegetables,,2,whipped-sour_cream,1,0.289340102,4.036397019
96,95,butter other_vegetables whipped-sour_cream,3,0.005795628,other_vegetables whipped-sour_cream,,2,butter,1,0.200704225,3.621882672
97,96,butter root_vegetables tropical_fruit,3,0.003558719,butter tropical_fruit,,2,root_vegetables,1,0.357142857,3.276585821
98,97,butter root_vegetables whipped-sour_cream,3,0.003457041,butter root_vegetables,,2,whipped-sour_cream,1,0.267716535,3.734740604
99,98,butter root_vegetables whipped-sour_cream,3,0.003457041,butter whipped-sour_cream,,2,root_vegetables,1,0.34,3.119309701
100,99,butter root_vegetables whipped-sour_cream,3,0.003457041,root_vegetables whipped-sour_cream,,2,butter,1,0.202380952,3.652140673
101,100,butter sausage whipped-sour_cream,3,0.002541942,butter sausage,,2,whipped-sour_cream,1,0.294117647,4.103045474
102,101,butter sausage whipped-sour_cream,3,0.002541942,sausage whipped-sour_cream,,2,butter,1,0.280898876,5.069065045
103,102,butter tropical_fruit whipped-sour_cream,3,0.00305033,butter tropical_fruit,,2,whipped-sour_cream,1,0.306122449,4.270516717
104,103,butter tropical_fruit whipped-sour_cream,3,0.00305033,tropical_fruit whipped-sour_cream,,2,butter,1,0.220588235,3.980706962
105,104,butter tropical_fruit yogurt,3,0.004575496,butter tropical_fruit,,2,yogurt,1,0.459183673,3.291597251
106,105,butter whipped-sour_cream whole_milk,3,0.006710727,butter whole_milk,,2,whipped-sour_cream,1,0.243542435,3.397503337
107,106,butter whipped-sour_cream whole_milk,3,0.006710727,whipped-sour_cream whole_milk,,2,butter,1,0.208201893,3.757184615
108,107,butter whipped-sour_cream yogurt,3,0.003863752,butter yogurt,,2,whipped-sour_cream,1,0.263888889,3.681343578
109,108,butter_milk fruit-vegetable_juice other_vegetables,3,0.002338587,butter_milk other_vegetables,,2,fruit-vegetable_juice,1,0.225490196,3.119122473
110,109,butter_milk other_vegetables pip_fruit,3,0.003253686,butter_milk other_vegetables,,2,pip_fruit,1,0.31372549,4.147164242
111,110,butter_milk other_vegetables pip_fruit,3,0.003253686,butter_milk pip_fruit,,2,other_vegetables,1,0.64,3.307619548
112,111,butter_milk other_vegetables whipped-sour_cream,3,0.002338587,butter_milk other_vegetables,,2,whipped-sour_cream,1,0.225490196,3.145668196
113,112,butter_milk other_vegetables whipped-sour_cream,3,0.002338587,butter_milk whipped-sour_cream,,2,other_vegetables,1,0.605263158,3.128094145
114,113,butter_milk pip_fruit whole_milk,3,0.00264362,butter_milk whole_milk,,2,pip_fruit,1,0.228070175,3.014879268
115,114,butter_milk whipped-sour_cream whole_milk,3,0.002948653,butter_milk whole_milk,,2,whipped-sour_cream,1,0.254385965,3.548774418
116,115,candy tropical_fruit yogurt,3,0.002338587,candy tropical_fruit,,2,yogurt,1,0.433962264,3.110800924
117,116,candy tropical_fruit yogurt,3,0.002338587,candy yogurt,,2,tropical_fruit,1,0.425925926,4.059090583
118,117,canned_beer sausage shopping_bags,3,0.00264362,canned_beer sausage,,2,shopping_bags,1,0.419354839,4.256300143
119,118,cat_food other_vegetables root_vegetables,3,0.002846975,cat_food other_vegetables,,2,root_vegetables,1,0.4375,4.013817631
120,119,cat_food other_vegetables root_vegetables,3,0.002846975,cat_food root_vegetables,,2,other_vegetables,1,0.608695652,3.145833809
121,120,cat_food other_vegetables yogurt,3,0.002745297,cat_food other_vegetables,,2,yogurt,1,0.421875,3.024154974
122,121,chicken citrus_fruit root_vegetables,3,0.00305033,chicken citrus_fruit,,2,root_vegetables,1,0.441176471,4.047547191
123,122,chicken citrus_fruit root_vegetables,3,0.00305033,chicken root_vegetables,,2,citrus_fruit,1,0.280373832,3.387563434
124,123,chicken citrus_fruit yogurt,3,0.002745297,chicken yogurt,,2,citrus_fruit,1,0.329268293,3.978321448
125,124,chicken domestic_eggs root_vegetables,3,0.002440264,chicken domestic_eggs,,2,root_vegetables,1,0.393442623,3.609615855
126,125,chicken domestic_eggs root_vegetables,3,0.002440264,chicken root_vegetables,,2,domestic_eggs,1,0.224299065,3.535226456
127,126,chicken domestic_eggs whole_milk,3,0.00396543,chicken whole_milk,,2,domestic_eggs,1,0.225433526,3.553106936
128,127,chicken hamburger_meat other_vegetables,3,0.002440264,chicken hamburger_meat,,2,other_vegetables,1,0.648648649,3.35231711
129,128,chicken other_vegetables pip_fruit,3,0.002846975,chicken pip_fruit,,2,other_vegetables,1,0.595744681,3.078901175
130,129,chicken other_vegetables sausage,3,0.003152008,chicken sausage,,2,other_vegetables,1,0.596153846,3.081015805
131,130,chicken other_vegetables whipped-sour_cream,3,0.003863752,chicken other_vegetables,,2,whipped-sour_cream,1,0.215909091,3.012008382
132,131,chicken other_vegetables yogurt,3,0.004880529,chicken yogurt,,2,other_vegetables,1,0.585365854,3.025261782
133,132,chicken root_vegetables sausage,3,0.002236909,chicken sausage,,2,root_vegetables,1,0.423076923,3.881493972
134,133,chicken root_vegetables tropical_fruit,3,0.002338587,chicken tropical_fruit,,2,root_vegetables,1,0.365079365,3.349398839
135,134,chicken root_vegetables whole_milk,3,0.005998983,chicken whole_milk,,2,root_vegetables,1,0.341040462,3.128855362
136,135,chicken root_vegetables yogurt,3,0.00305033,chicken yogurt,,2,root_vegetables,1,0.365853659,3.356502548
137,136,chicken whipped-sour_cream whole_milk,3,0.004168785,chicken whole_milk,,2,whipped-sour_cream,1,0.23699422,3.306153405
138,137,chicken whipped-sour_cream yogurt,3,0.002440264,chicken yogurt,,2,whipped-sour_cream,1,0.292682927,4.083030618
139,138,chocolate fruit-vegetable_juice other_vegetables,3,0.002846975,chocolate other_vegetables,,2,fruit-vegetable_juice,1,0.224,3.098509142
140,139,chocolate fruit-vegetable_juice yogurt,3,0.002440264,chocolate yogurt,,2,fruit-vegetable_juice,1,0.263736264,3.64816618
141,140,chocolate long_life_bakery_product other_vegetables,3,0.002338587,long_life_bakery_product other_vegetables,,2,chocolate,1,0.219047619,4.414617486
142,141,chocolate long_life_bakery_product whole_milk,3,0.00305033,long_life_bakery_product whole_milk,,2,chocolate,1,0.22556391,4.54594478
143,142,chocolate pastry tropical_fruit,3,0.002236909,chocolate tropical_fruit,,2,pastry,1,0.275,3.091
144,143,citrus_fruit curd tropical_fruit,3,0.002338587,citrus_fruit curd,,2,tropical_fruit,1,0.328571429,3.13129845
145,144,citrus_fruit curd yogurt,3,0.00305033,citrus_fruit curd,,2,yogurt,1,0.428571429,3.072157434
146,145,citrus_fruit frozen_vegetables root_vegetables,3,0.00264362,citrus_fruit frozen_vegetables,,2,root_vegetables,1,0.4,3.669776119
147,146,citrus_fruit fruit-vegetable_juice root_vegetables,3,0.003457041,citrus_fruit fruit-vegetable_juice,,2,root_vegetables,1,0.333333333,3.058146766
148,147,citrus_fruit fruit-vegetable_juice root_vegetables,3,0.003457041,fruit-vegetable_juice root_vegetables,,2,citrus_fruit,1,0.288135593,3.481343439
149,148,citrus_fruit fruit-vegetable_juice soda,3,0.003355363,citrus_fruit soda,,2,fruit-vegetable_juice,1,0.261904762,3.622831692
150,149,citrus_fruit fruit-vegetable_juice tropical_fruit,3,0.00396543,citrus_fruit fruit-vegetable_juice,,2,tropical_fruit,1,0.382352941,3.643838349
151,150,citrus_fruit fruit-vegetable_juice tropical_fruit,3,0.00396543,fruit-vegetable_juice tropical_fruit,,2,citrus_fruit,1,0.288888889,3.49044499
152,151,citrus_fruit napkins tropical_fruit,3,0.002846975,citrus_fruit napkins,,2,tropical_fruit,1,0.373333333,3.557881137
153,152,citrus_fruit napkins tropical_fruit,3,0.002846975,napkins tropical_fruit,,2,citrus_fruit,1,0.282828283,3.417218872
154,153,citrus_fruit oil other_vegetables,3,0.002541942,oil other_vegetables,,2,citrus_fruit,1,0.255102041,3.082221832
155,154,citrus_fruit onions other_vegetables,3,0.003558719,citrus_fruit onions,,2,other_vegetables,1,0.636363636,3.288826255
156,155,citrus_fruit onions other_vegetables,3,0.003558719,onions other_vegetables,,2,citrus_fruit,1,0.25,3.020577396
157,156,citrus_fruit other_vegetables root_vegetables,3,0.010371124,citrus_fruit other_vegetables,,2,root_vegetables,1,0.35915493,3.295045459
158,157,citrus_fruit other_vegetables root_vegetables,3,0.010371124,citrus_fruit root_vegetables,,2,other_vegetables,1,0.586206897,3.029608422
159,158,citrus_fruit other_vegetables tropical_fruit,3,0.009049314,other_vegetables tropical_fruit,,2,citrus_fruit,1,0.252124646,3.046248025
160,159,citrus_fruit pip_fruit root_vegetables,3,0.003863752,pip_fruit root_vegetables,,2,citrus_fruit,1,0.248366013,3.00083506
161,160,citrus_fruit pip_fruit shopping_bags,3,0.00264362,citrus_fruit shopping_bags,,2,pip_fruit,1,0.270833333,3.580169131
162,161,citrus_fruit pip_fruit shopping_bags,3,0.00264362,pip_fruit shopping_bags,,2,citrus_fruit,1,0.282608696,3.414565752
163,162,citrus_fruit pip_fruit tropical_fruit,3,0.005592272,citrus_fruit pip_fruit,,2,tropical_fruit,1,0.404411765,3.854059793
164,163,citrus_fruit pip_fruit tropical_fruit,3,0.005592272,citrus_fruit tropical_fruit,,2,pip_fruit,1,0.280612245,3.709437404
165,164,citrus_fruit pip_fruit tropical_fruit,3,0.005592272,pip_fruit tropical_fruit,,2,citrus_fruit,1,0.273631841,3.306104612
166,165,citrus_fruit pork root_vegetables,3,0.002541942,citrus_fruit pork,,2,root_vegetables,1,0.390625,3.583765742
167,166,citrus_fruit root_vegetables tropical_fruit,3,0.00569395,citrus_fruit root_vegetables,,2,tropical_fruit,1,0.32183908,3.067138911
168,167,citrus_fruit root_vegetables tropical_fruit,3,0.00569395,root_vegetables tropical_fruit,,2,citrus_fruit,1,0.270531401,3.268644138
169,168,citrus_fruit sausage whipped-sour_cream,3,0.002338587,sausage whipped-sour_cream,,2,citrus_fruit,1,0.258426966,3.122394611
170,169,citrus_fruit whipped-sour_cream yogurt,3,0.004575496,citrus_fruit whipped-sour_cream,,2,yogurt,1,0.420560748,3.014733931
171,170,coffee fruit-vegetable_juice soda,3,0.00264362,coffee soda,,2,fruit-vegetable_juice,1,0.265306122,3.669881455
172,171,coffee pip_fruit tropical_fruit,3,0.002440264,coffee pip_fruit,,2,tropical_fruit,1,0.352941176,3.363543092
173,172,coffee pip_fruit tropical_fruit,3,0.002440264,coffee tropical_fruit,,2,pip_fruit,1,0.342857143,4.532258065
174,173,coffee tropical_fruit yogurt,3,0.00305033,coffee tropical_fruit,,2,yogurt,1,0.428571429,3.072157434
175,174,cream_cheese curd other_vegetables,3,0.002745297,cream_cheese other_vegetables,,2,curd,1,0.2,3.753816794
176,175,cream_cheese curd yogurt,3,0.002440264,cream_cheese curd,,2,yogurt,1,0.48,3.440816327
177,176,cream_cheese domestic_eggs other_vegetables,3,0.002846975,cream_cheese other_vegetables,,2,domestic_eggs,1,0.207407407,3.268993352
178,177,cream_cheese domestic_eggs whole_milk,3,0.003457041,cream_cheese whole_milk,,2,domestic_eggs,1,0.209876543,3.30790994
179,178,cream_cheese fruit-vegetable_juice yogurt,3,0.002440264,cream_cheese fruit-vegetable_juice,,2,yogurt,1,0.428571429,3.072157434
180,179,cream_cheese other_vegetables root_vegetables,3,0.004473818,cream_cheese root_vegetables,,2,other_vegetables,1,0.594594595,3.07295735
181,180,cream_cheese other_vegetables whipped-sour_cream,3,0.003355363,cream_cheese other_vegetables,,2,whipped-sour_cream,1,0.244444444,3.410086682
182,181,cream_cheese pip_fruit whole_milk,3,0.00396543,cream_cheese whole_milk,,2,pip_fruit,1,0.240740741,3.182372561
183,182,cream_cheese root_vegetables yogurt,3,0.003762074,cream_cheese root_vegetables,,2,yogurt,1,0.5,3.584183673
184,183,cream_cheese whipped-sour_cream whole_milk,3,0.00396543,cream_cheese whole_milk,,2,whipped-sour_cream,1,0.240740741,3.358418702
185,184,cream_cheese whipped-sour_cream yogurt,3,0.003355363,cream_cheese whipped-sour_cream,,2,yogurt,1,0.523809524,3.754859086
186,185,cream_cheese whipped-sour_cream yogurt,3,0.003355363,cream_cheese yogurt,,2,whipped-sour_cream,1,0.270491803,3.773456575
187,186,curd dessert whole_milk,3,0.002745297,dessert whole_milk,,2,curd,1,0.2,3.753816794
188,187,curd domestic_eggs other_vegetables,3,0.003457041,curd other_vegetables,,2,domestic_eggs,1,0.201183432,3.170895919
189,188,curd domestic_eggs root_vegetables,3,0.002338587,curd domestic_eggs,,2,root_vegetables,1,0.359375,3.297064482
190,189,curd domestic_eggs root_vegetables,3,0.002338587,curd root_vegetables,,2,domestic_eggs,1,0.214953271,3.387925353
191,190,curd domestic_eggs tropical_fruit,3,0.002236909,curd domestic_eggs,,2,tropical_fruit,1,0.34375,3.275950824
192,191,curd domestic_eggs tropical_fruit,3,0.002236909,curd tropical_fruit,,2,domestic_eggs,1,0.217821782,3.433136583
193,192,curd domestic_eggs yogurt,3,0.002745297,curd domestic_eggs,,2,yogurt,1,0.421875,3.024154974
194,193,curd hamburger_meat whole_milk,3,0.002541942,curd hamburger_meat,,2,whole_milk,1,0.806451613,3.156168569
195,194,curd margarine yogurt,3,0.002745297,curd margarine,,2,yogurt,1,0.435483871,3.121708361
196,195,curd other_vegetables whipped-sour_cream,3,0.00437214,curd other_vegetables,,2,whipped-sour_cream,1,0.25443787,3.54949851
197,196,curd pastry yogurt,3,0.003253686,curd pastry,,2,yogurt,1,0.432432432,3.099834528
198,197,curd pip_fruit tropical_fruit,3,0.002745297,curd pip_fruit,,2,tropical_fruit,1,0.350649351,3.341701903
199,198,curd pip_fruit tropical_fruit,3,0.002745297,curd tropical_fruit,,2,pip_fruit,1,0.267326733,3.533815075
200,199,curd pip_fruit whipped-sour_cream,3,0.002236909,curd pip_fruit,,2,whipped-sour_cream,1,0.285714286,3.985815603
201,200,curd pip_fruit whipped-sour_cream,3,0.002236909,pip_fruit whipped-sour_cream,,2,curd,1,0.241758242,4.53758074
202,201,curd pip_fruit yogurt,3,0.003863752,curd pip_fruit,,2,yogurt,1,0.493506494,3.537635834
203,202,curd pip_fruit yogurt,3,0.003863752,pip_fruit yogurt,,2,curd,1,0.214689266,4.029520852
204,203,curd rolls-buns whipped-sour_cream,3,0.002440264,curd rolls-buns,,2,whipped-sour_cream,1,0.242424242,3.381904148
205,204,curd root_vegetables whipped-sour_cream,3,0.002541942,curd root_vegetables,,2,whipped-sour_cream,1,0.23364486,3.259428647
206,205,curd root_vegetables yogurt,3,0.004677173,curd root_vegetables,,2,yogurt,1,0.429906542,3.081728018
207,206,curd sausage yogurt,3,0.003558719,curd sausage,,2,yogurt,1,0.466666667,3.345238095
208,207,curd tropical_fruit whipped-sour_cream,3,0.002846975,curd tropical_fruit,,2,whipped-sour_cream,1,0.277227723,3.86742504
209,208,curd tropical_fruit whipped-sour_cream,3,0.002846975,tropical_fruit whipped-sour_cream,,2,curd,1,0.205882353,3.86422317
210,209,curd tropical_fruit yogurt,3,0.005287239,curd tropical_fruit,,2,yogurt,1,0.514851485,3.690644575
211,210,curd whipped-sour_cream whole_milk,3,0.005897306,curd whole_milk,,2,whipped-sour_cream,1,0.225680934,3.148329056
212,211,curd whipped-sour_cream yogurt,3,0.004575496,curd whipped-sour_cream,,2,yogurt,1,0.436893204,3.131810977
213,212,curd whipped-sour_cream yogurt,3,0.004575496,curd yogurt,,2,whipped-sour_cream,1,0.264705882,3.692740926
214,213,curd whipped-sour_cream yogurt,3,0.004575496,whipped-sour_cream yogurt,,2,curd,1,0.220588235,4.140239111
215,214,dessert fruit-vegetable_juice other_vegetables,3,0.00264362,dessert other_vegetables,,2,fruit-vegetable_juice,1,0.228070175,3.154810373
216,215,dessert fruit-vegetable_juice yogurt,3,0.002338587,dessert yogurt,,2,fruit-vegetable_juice,1,0.237113402,3.279901982
217,216,dessert other_vegetables pip_fruit,3,0.002745297,dessert other_vegetables,,2,pip_fruit,1,0.236842105,3.130836163
218,217,dessert other_vegetables root_vegetables,3,0.003457041,dessert root_vegetables,,2,other_vegetables,1,0.596491228,3.082759447
219,218,dessert other_vegetables whipped-sour_cream,3,0.002846975,dessert other_vegetables,,2,whipped-sour_cream,1,0.245614035,3.426402887
220,219,dessert other_vegetables whipped-sour_cream,3,0.002846975,dessert whipped-sour_cream,,2,other_vegetables,1,0.583333333,3.014757401
221,220,dessert root_vegetables yogurt,3,0.002440264,dessert root_vegetables,,2,yogurt,1,0.421052632,3.018259936
